Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
1,Hells Bells,AC/DC,1980,https://www.youtube.com/watch?v=etAIpkdhU9Q,a9020c0e177c06ffeffa6c5b07b5721b1619dc96a65bf2fc7b6162984b654c27,AC/DC - Hells Bells (Official 4K Video),AUAP08000041
2,Hard To Handle,The Black Crowes,1990,https://www.youtube.com/watch?v=BRcs_OzQb14,0e48509b7d072cccb1bf62e3197bc3c9eef2720a0f4389b8a50bc2d2b2c3439c,The Black Crowes - Hard To Handle,USSM19000343
3,Purple Rain,Prince,1984,https://www.youtube.com/watch?v=GaJcBJQi7bY,0d52376fb278e30bb477c3411271d7b09482663aa21e36cf475e275437f36991,"Prince & The Revolution - Purple Rain (Official Video), HD (Digitally Remastered and Upscaled)",USWB10001880
4,Wild Thing,The Troggs,1966,https://www.youtube.com/watch?v=-hB-zLPe3Bo,8cd282173413c198f0e9dc0cccd9bea62d58b0bb31837f679d57cf1c0ddf693b,The Troggs- Wild Thing (Official Video) HD,GBF086600001
5,Prey,Parkway Drive,2018,https://www.youtube.com/watch?v=WZPZ_-BxORo,000c384f11da6b3eaae1506e364cd2093f8d99031b60fee217fd507bb366ccaa,Parkway Drive: Prey (Radio Edit),USEP41712003
6,Feel Invincible,Skillet,2016,https://www.youtube.com/watch?v=nZYa7vjjPv0,c54ab15408d34e437c94df19469a4f0bbae4250c474630d203f5e148dc32fb7a,Skillet - Feel Invincible - 2016 - Lyric Video,USAT21601370
7,B.Y.O.B.,System Of A Down,2005,https://www.youtube.com/watch?v=zUzd9KyIDrM,caa4dc10cb088df0b42b69211cc5830114f2d94663dde9f52b6578564c7174d8,System Of A Down - B.Y.O.B. (Official HD Video),USSM10501327
8,Machinehead - Remastered,Bush,1994,https://www.youtube.com/watch?v=5WPbqYoz9HA,97615c8c001d4a96f9d3288ca1c6505befd3a39a652ea012bc7346ef3e588cc7,Bush - Machinehead,QM7YK1400021
9,Basket Case,Green Day,1994,https://www.youtube.com/watch?v=VKjEdYrx9P0,dafbd2691b68a08a606d6e4573a8da73a6c21d491c090ddbff2c0d863e5eb14e,Basket Case - Green Day,USRE19900151
10,Call Me,Blondie,1980,https://www.youtube.com/watch?v=StKVS0eI85I,9c026abf56434e00a8e27ce88b54f7f56262d5a48d9a3b8ee51bda1a792f7af8,Blondie - Call me,USCH38900008
11,Sweet Home Alabama,Lynyrd Skynyrd,1974,https://www.youtube.com/watch?v=-p8GXZcdrIk,9d441c7491c5516374e5629ba3ae328b2321a0946d9958af48c75afca31c2051,Lynyrd Skynyrd - Sweet Home Alabama (Lyric Video),USMC17446153
12,Fear of the Dark,Iron Maiden,1992,https://www.youtube.com/watch?v=p32b5nNq1zw,617303d21bb6d6c080f29c1e2ce5e552f6e1b204d9da3ed6a9cbf9a33fde764d,Iron Maiden - Fear of The Dark (HQ),GBCHB1800082
13,With Or Without You,U2,1985,https://www.youtube.com/watch?v=ujNeHIo7oTE,0b4b38f35fd86ad9faab7ec0dbd14265ce998044bbe56e4228e7c89073657f12,U2 - With Or Without You (Official Music Video),GBAAN8790003
